#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
32 in 1 (USA);32 in 1 (USA);Atari 7800;;1988;Atari;Compilation;;;;;0;;;;;
Ace of Aces (USA);Ace of Aces (USA);Atari 7800;;1988;Artech;Flying;;;;;0;;;;;
Alien Brigade (USA);Alien Brigade (USA);Atari 7800;;1990;Atari;Shooter;;;;;0;;;;;
Asteroids (USA);Asteroids (USA);Atari 7800;;1987;Atari;Shoot-'Em-Up;;;;;0;;;;;
Ballblazer (USA);Ballblazer (USA);Atari 7800;;1987;Lucasfilm Games;Sports;;;;;0;;;;;
Barnyard Blaster (USA);Barnyard Blaster (USA);Atari 7800;;1988;Atari;Gun;;;;;0;;;;;
Basketbrawl (USA);Basketbrawl (USA);Atari 7800;;1990;Atari;Basketball/Sports;;;;;0;;;;;
Centipede (USA);Centipede (USA);Atari 7800;;1987;Atari;Shoot-'Em-Up;;;;;0;;;;;
Choplifter! (USA);Choplifter! (USA);Atari 7800;;1988;Broderbund Software;Shoot-'Em-Up;;;;;0;;;;;
Commando (USA);Commando (USA);Atari 7800;;1989;Capcom;Shooter;;;;;0;;;;;
Crack'ed (USA);Crack'ed (USA);Atari 7800;;1988;Atari;Shooter;;;;;0;;;;;
Crossbow (USA);Crossbow (USA);Atari 7800;;1987;Exidy;Shooter;;;;;0;;;;;
Dark Chambers (USA);Dark Chambers (USA);Atari 7800;;1988;Atari;Maze;;;;;0;;;;;
Desert Falcon (USA);Desert Falcon (USA);Atari 7800;;1987;Atari;Shoot-'Em-Up;;;;;0;;;;;
Dig Dug (USA);Dig Dug (USA);Atari 7800;;1987;Namco;Maze;;;;;0;;;;;
Donkey Kong (USA);Donkey Kong (USA);Atari 7800;;1988;Nintendo;Platform;;;;;0;;;;;
Donkey Kong Junior (USA);Donkey Kong Junior (USA);Atari 7800;;1988;Nintendo;Platform;;;;;0;;;;;
Double Dragon (USA);Double Dragon (USA);Atari 7800;;1989;Technos;Beat-'Em-Up;;;;;0;;;;;
F-18 Hornet (USA);F-18 Hornet (USA);Atari 7800;;1988;Absolute Entertainment;Flying;;;;;0;;;;;
Fatal Run (USA);Fatal Run (USA);Atari 7800;;1990;Sculptured Software;Driving;;;;;0;;;;;
Fight Night (USA);Fight Night (USA);Atari 7800;;1988;Sydney Development;Boxing/Sports;;;;;0;;;;;
