#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
007 - The Living Daylights (Europe);007 - The Living Daylights (Europe);Atari 800;;;;;;;;;;;;;;
180 (Europe);180 (Europe);Atari 800;;;;;;;;;;;;;;
221B Baker Street (USA) (Disk 1 Side A);221B Baker Street (USA) (Disk 1 Side A);Atari 800;;;;;;;;;;;;;;
221B Baker Street (USA) (Disk 1 Side B);221B Baker Street (USA) (Disk 1 Side B);Atari 800;;;;;;;;;;;;;;
221B Baker Street (USA) (Disk 2) (Case Library 1);221B Baker Street (USA) (Disk 2) (Case Library 1);Atari 800;;;;;;;;;;;;;;
221B Baker Street (USA) (Disk 3) (Case Library 2);221B Baker Street (USA) (Disk 3) (Case Library 2);Atari 800;;;;;;;;;;;;;;
3-D Tic-Tac-Toe (Atari) (USA);3-D Tic-Tac-Toe (Atari) (USA);Atari 800;;;;;;;;;;;;;;
A-E (USA) (Side A);A-E (USA) (Side A);Atari 800;;;;;;;;;;;;;;
A-E (USA) (Side B);A-E (USA) (Side B);Atari 800;;;;;;;;;;;;;;
Abracadabra! (USA);Abracadabra! (USA);Atari 800;;;;;;;;;;;;;;
Ace of Aces (USA);Ace of Aces (USA);Atari 800;;;;;;;;;;;;;;
Action Biker (USA);Action Biker (USA);Atari 800;;;;;;;;;;;;;;
Advanced Pinball Simulator (Europe);Advanced Pinball Simulator (Europe);Atari 800;;;;;;;;;;;;;;
Adventure Creator (USA);Adventure Creator (USA);Atari 800;;;;;;;;;;;;;;
Adventure Quest (USA);Adventure Quest (USA);Atari 800;;;;;;;;;;;;;;
Adventure! (USA);Adventure! (USA);Atari 800;;;;;;;;;;;;;;
Adventures of Robin Hood, The (Europe);Adventures of Robin Hood, The (Europe);Atari 800;;;;;;;;;;;;;;
Agent USA (USA);Agent USA (USA);Atari 800;;;;;;;;;;;;;;
Air Attack (USA) (Unl);Air Attack (USA) (Unl);Atari 800;;;;;;;;;;;;;;
Air Rescue (Europe);Air Rescue (Europe);Atari 800;;;;;;;;;;;;;;
Air Support (USA);Air Support (USA);Atari 800;;;;;;;;;;;;;;
Air-Raid! (USA);Air-Raid! (USA);Atari 800;;;;;;;;;;;;;;
Airline (USA);Airline (USA);Atari 800;;;;;;;;;;;;;;
Airstrike (Europe);Airstrike (Europe);Atari 800;;;;;;;;;;;;;;
Airstrike II (Europe);Airstrike II (Europe);Atari 800;;;;;;;;;;;;;;
Airwolf (Europe);Airwolf (Europe);Atari 800;;;;;;;;;;;;;;
Ali Baba And The Forty Thieves (USA);Ali Baba And The Forty Thieves (USA);Atari 800;;;;;;;;;;;;;;
Alien Ambush (USA);Alien Ambush (USA);Atari 800;;;;;;;;;;;;;;
Alien Attack (USA);Alien Attack (USA);Atari 800;;;;;;;;;;;;;;
Alien Swarm (Canada);Alien Swarm (Canada);Atari 800;;;;;;;;;;;;;;
Alley Cat (USA);Alley Cat (USA);Atari 800;;;;;;;;;;;;;;
Amaurote (Europe);Amaurote (Europe);Atari 800;;;;;;;;;;;;;;
Amazing! (Europe) (Unl);Amazing! (Europe) (Unl);Atari 800;;;;;;;;;;;;;;
Amnesia (Europe) (Unl);Amnesia (Europe) (Unl);Atari 800;;;;;;;;;;;;;;
Ankh (USA);Ankh (USA);Atari 800;;;;;;;;;;;;;;
Arcade Fruit Machine (Europe);Arcade Fruit Machine (Europe);Atari 800;;;;;;;;;;;;;;
Archon (USA);Archon (USA);Atari 800;;;;;;;;;;;;;;
Archon II - Adept (USA);Archon II - Adept (USA);Atari 800;;;;;;;;;;;;;;
Ardy the Aardvark (USA);Ardy the Aardvark (USA);Atari 800;;;;;;;;;;;;;;
Arena 3000 (USA);Arena 3000 (USA);Atari 800;;;;;;;;;;;;;;
Arkanoid (Europe);Arkanoid (Europe);Atari 800;;;;;;;;;;;;;;
Arkanoid II (Netherlands) (Unl);Arkanoid II (Netherlands) (Unl);Atari 800;;;;;;;;;;;;;;
Asteroids (USA);Asteroids (USA);Atari 800;;;;;;;;;;;;;;
Astro Chase (USA);Astro Chase (USA);Atari 800;;;;;;;;;;;;;;
Asylum, The (USA) (Unl);Asylum, The (USA) (Unl);Atari 800;;;;;;;;;;;;;;
Atlantis (USA);Atlantis (USA);Atari 800;;;;;;;;;;;;;;
Atom Smasher (USA);Atom Smasher (USA);Atari 800;;;;;;;;;;;;;;
Attack of the Mutant Camels (HESWare) (USA);Attack of the Mutant Camels (HESWare) (USA);Atari 800;;;;;;;;;;;;;;
Axis Assassin (USA);Axis Assassin (USA);Atari 800;;;;;;;;;;;;;;
Aztec (USA);Aztec (USA);Atari 800;;;;;;;;;;;;;;
Aztec Challenge (1982) (USA);Aztec Challenge (1982) (USA);Atari 800;;;;;;;;;;;;;;
Aztec Challenge (1983) (USA);Aztec Challenge (1983) (USA);Atari 800;;;;;;;;;;;;;;
BC's Quest for Tires (USA);BC's Quest for Tires (USA);Atari 800;;;;;;;;;;;;;;
BMX Simulator (Europe);BMX Simulator (Europe);Atari 800;;;;;;;;;;;;;;
Backgammon (TK Computer Products) (USA);Backgammon (TK Computer Products) (USA);Atari 800;;;;;;;;;;;;;;
Ballblazer (USA);Ballblazer (USA);Atari 800;;;;;;;;;;;;;;
Ballyhoo (USA) (Side A);Ballyhoo (USA) (Side A);Atari 800;;;;;;;;;;;;;;
Ballyhoo (USA) (Side B);Ballyhoo (USA) (Side B);Atari 800;;;;;;;;;;;;;;
Barbarian (Poland);Barbarian (Poland);Atari 800;;;;;;;;;;;;;;
Barnyard Blaster (USA);Barnyard Blaster (USA);Atari 800;;;;;;;;;;;;;;
Basil the Great Mouse Detective (Europe);Basil the Great Mouse Detective (Europe);Atari 800;;;;;;;;;;;;;;
Basketball (USA);Basketball (USA);Atari 800;;;;;;;;;;;;;;
